Q13645388,Q1802963
Q134917287,Q134917286
Q134281279,Q676081
Q133327,Q4240689
Q130336486,Q722659
Q12809484,Q16725943
Q119230201,Q1711347
Q116773301,Q349572
Q1140178,Q334383
Q112211006,Q112211049
Q111015360,Q7820953
Q11049265,Q2144042
Q108743809,Q1799072
Q10674566,Q2307291
Q10639405,Q689880
Q1009600,Q162986
Q98889979,Q15091621
Q9203135,Q978044
Q7863260,Q80011137
Q5891306,Q212926
Q55738902,Q1662735
Q55014429,Q424221
Q505681,Q356090
Q4887411,Q8359428
Q3942422,Q18491037
Q3253150,Q155930
Q2625206,Q608862
Q20919240,Q1443672
Q204335,Q82799
Q18646422,Q29585019
Q1758424,Q1146011
Q1500368,Q25550691
Q1252145,Q2794475
Q123120899,Q82799
Q112189280,Q112189234
Q111263847,Q109459317
Q1005420,Q314024
Q1066707,Q209163
Q912751,Q21106344
Q88321276,Q46857
Q839864,Q14947863
Q680928,Q856887
Q618678,Q14026181
Q591055,Q249697
Q55786850,Q55789068
Q55738599,Q16875637
Q33394058,Q12713481
Q21421116,Q14874552
Q192822,Q731978
Q1820336,Q7921
Q1714153,Q24476018
Q153050,Q2147820
Q118451828,Q1422299
Q112189412,Q112189408
Q110994345,Q46857
Q8338,Q55774273
Q19968968,Q474968
Q55738912,Q1757829
Q22292002,Q14860554
Q7401,Q13196193
Q28813620,Q99527517
Q216601,Q488383
Q1554231,Q31464082
Q17007432,Q12347612
Q16686022,Q1970309
Q81334,Q110558466
Q80837,Q332102
Q7512598,Q3622126
Q7148361,Q2083958
Q65088968,Q29430681
Q599031,Q3505845
Q3504856,Q29863201
Q2988681,Q21013267
Q24887854,Q12890393
Q17148708,Q1150771
Q15589476,Q177626
Q13427241,Q16513426
Q1272626,Q3695082
Q12442971,Q17376908
Q110529180,Q88392887
Q10593298,Q18530
Q35145743,Q27096235
Q1229071,Q68614425
Q98658352,Q10875128
Q9053464,Q11460
Q73498530,Q115921244
Q702362,Q13422045
Q63154570,Q21752591
Q5165152,Q27019785
Q506259,Q273120
Q4516014,Q4189293
Q392648,Q23894381
Q33215,Q3247505
Q3246832,Q115922057
Q285701,Q379693
Q2746733,Q10681470
Q27043948,Q66394244
Q2470517,Q107435521
Q24334299,Q2239243
Q2249676,Q2920644
Q2105244,Q575
Q21014657,Q29182544
Q19571328,Q51591359
Q194112,Q878143
Q19289049,Q2551422
Q1920566,Q8018506
Q1759540,Q39546
Q17488292,Q649732
Q1728581,Q8137
Q16829513,Q214609
Q16173659,Q941501
Q16138157,Q216353
Q14864881,Q5058355
Q136439120,Q14136353
Q136213886,Q1410327
Q135989923,Q15275719
Q134488202,Q748349
Q117207331,Q117207320
Q115922995,Q115922801
Q114981377,Q2057931
Q110915008,Q108764372
Q106645015,Q29896155
Q104886715,Q1146944
Q104886589,Q14623646
Q1006311,Q21994376
Q130949,Q12375604
Q839546,Q811909
Q58815974,Q5176895
Q476850,Q45100013
Q43874039,Q12649079
Q354757,Q1370714
Q25640324,Q39397
Q2056928,Q52670593
Q1900755,Q267995
Q1477744,Q135268494
Q131610767,Q836950
Q10672725,Q937106
Q975290,Q172754
Q96376715,Q94483283
Q92206291,Q14952
Q846303,Q12822185
Q84036549,Q59544
Q811463,Q811430
Q795052,Q7239
Q79358391,Q122380363
Q7269307,Q2761147
Q726738,Q263478
Q7211,Q17625380
Q7148362,Q30322382
Q6907074,Q331769
Q6763949,Q490329
Q65683763,Q12379553
Q628565,Q7087
Q62059481,Q10816681
Q602418,Q202064
Q5489108,Q1355373
Q533501,Q736559
Q5168591,Q1759895
Q5023193,Q326259
Q4825882,Q212108
Q42965339,Q29024343
Q3683633,Q3404720
Q368359,Q134307
Q35718073,Q54802199
Q353070,Q1777515
Q342522,Q108605134
Q3406743,Q1836700
Q33115883,Q1778821
Q3305298,Q2786945
Q3223176,Q8068
Q30324006,Q1569011
Q29032808,Q29032804
Q2868533,Q5275
Q280221,Q855395
Q2703,Q507810
Q25431660,Q56825824
Q2272265,Q194173
Q21296252,Q811534
Q2123827,Q16744570
Q2111921,Q180362
Q2039217,Q3265221
Q2013063,Q264661
Q1985622,Q29688905
Q19346745,Q64364682
Q18915527,Q1413235
Q1762010,Q125375
Q1743247,Q19899465
Q1738991,Q25472932
Q17379796,Q56612157
Q17279032,Q103838820
Q16865094,Q27556165
Q16857843,Q1413450
Q1550643,Q211364
Q1549395,Q1323314
Q1521410,Q26037047
Q14613593,Q2397485
Q14524493,Q271669
Q14416029,Q12323
Q1435416,Q10971443
Q1419626,Q121444807
Q1367530,Q10942443
Q136426680,Q859965
Q1355050,Q9081
Q1301203,Q6087062
Q1297322,Q15731960
Q126364246,Q108060488
Q125576630,Q131172
Q1242123,Q200266
Q123000623,Q126864576
Q1194539,Q57598
Q118932455,Q131569
Q118471175,Q2110808
Q117208433,Q768186
Q116781363,Q116780221
Q115786086,Q115820013
Q1152399,Q373045
Q11512972,Q15911314
Q11341687,Q80071
Q11320567,Q166142
Q112806846,Q112806876
Q112040407,Q2145290
Q110916415,Q15053464
Q1103507,Q21157127
Q1069330,Q864574
Q10656116,Q345127
Q104777741,Q11588306
Q104450446,Q17538423
Q853565,Q223573
Q841654,Q476300
Q835068,Q106460986
Q7627836,Q18457896
Q57241224,Q5265669
Q477248,Q115618359
Q245065,Q484652
Q15812117,Q4173974
Q1439598,Q115797427
Q1424805,Q56324329
Q141488,Q840247
Q135740984,Q135740745
Q134082204,Q134082240
Q1299714,Q36529775
Q123593345,Q163698
Q1115575,Q4976993
Q943017,Q46169
Q928667,Q26540
Q89497,Q35509
Q87410555,Q110314248
Q854429,Q2879412
Q84531952,Q12056594
Q840979,Q13049940
Q838625,Q828581
Q836084,Q17130629
Q782614,Q788176
Q76846351,Q28822537
Q7523938,Q34442
Q752021,Q1280410
Q736556,Q16908411
Q735,Q17537576
Q7345499,Q1040689
Q7303147,Q26256296
Q71723427,Q20669574
Q6978246,Q48767175
Q662639,Q1191504
Q659390,Q131841
Q64643615,Q64520857
Q64129187,Q3253281
Q6405028,Q60673395
Q631425,Q1178984
Q615985,Q3635085
Q61484497,Q60029820
Q6059909,Q117816740
Q59278506,Q14600828
Q55784185,Q1847467
Q5446356,Q22075301
Q542,Q11047409
Q5392830,Q42586063
Q5162904,Q936257
Q4942042,Q42470
Q4923114,Q632959
Q4430245,Q177634
Q4347112,Q337979
Q4260475,Q9386252
Q421829,Q3150005
Q4064547,Q11798718
Q3995481,Q274153
Q3850202,Q162919
Q3847033,Q29485
Q3575975,Q2445527
Q351389,Q2531956
Q350604,Q71266556
Q3482410,Q921513
Q3480051,Q530288
Q3377803,Q133311
Q3363934,Q43501
Q3354019,Q12317354
Q332807,Q1313482
Q332729,Q1747793
Q3133368,Q2145117
Q29957908,Q1244442
Q2973947,Q192611
Q28718519,Q1348645
Q28555911,Q6005984
Q26678376,Q313354
Q252370,Q1213562
Q2481400,Q7321258
Q2347178,Q815547
Q234460,Q47461344
Q232846,Q1410110
Q23011722,Q23058816
Q21088122,Q107231997
Q21040055,Q12558574
Q20893000,Q728904
Q20820424,Q4458345
Q2042898,Q3254959
Q2037180,Q2659509
Q20202982,Q557770
Q1976354,Q1445536
Q196068,Q1550557
Q1929383,Q815554
Q192874,Q25397894
Q18214700,Q294163
Q18088864,Q1803820
Q1798603,Q1051772
Q17839578,Q128418
